entrez_gene_id,hugo_symbol,average_expression,number_of_tumour_samples,cancer_type,dataset_name,is_oncogene,is_tumor_suppressor_gene
10376,TUBA1B,47332.988489,139,GBM,cBioPortal,,
3106,HLA-B,34387.455848,300,OV,cBioPortal,No,Yes
5315,PKM2,31869.128333,78,ACC,cBioPortal,,
2512,FTL,42111.574157,178,PCPG,cBioPortal,,
189,AGXT,33263.123968,366,LIHC,cBioPortal,,
6171,RPL41,32044.589260,300,OV,cBioPortal,,
6175,RPLP0,48741.598658,149,TGCT,cBioPortal,,
1278,COL1A2,268695.359680,253,SARC,cBioPortal,,
1586,CYP17A1,150245.165679,78,ACC,cBioPortal,No,No
6137,RPL13,97569.496250,80,UVM,cBioPortal,,
348,APOE,43824.708958,48,DLBC,cBioPortal,,
1191,CLU,58660.621474,300,OV,cBioPortal,,
6137,RPL13,31243.143255,493,PRAD,cBioPortal,,
6138,RPL15,30849.063452,300,OV,cBioPortal,,
6187,RPS2,36601.872708,48,DLBC,cBioPortal,,
6229,RPS24,45669.816667,48,DLBC,cBioPortal,,
10399,GNB2L1,35544.140337,300,OV,cBioPortal,,
6194,RPS6,63521.632500,80,UVM,cBioPortal,,
6222,RPS18,66320.637500,48,DLBC,cBioPortal,,
1915,EEF1A1,95707.328251,592,COADREAD,cBioPortal,,
3105,HLA-A,55497.358026,76,SKCM,cBioPortal,No,Yes
1938,EEF2,96923.374933,493,PRAD,cBioPortal,,
3486,IGFBP3,57447.030941,510,KIRC,cBioPortal,,
6132,RPL8,51589.397479,119,THYM,cBioPortal,,
6124,RPL4,51493.917647,119,THYM,cBioPortal,,
4069,LYZ,66534.015764,412,STAD,cBioPortal,,
7117,TMSL3,33272.762273,484,LUSC,cBioPortal,,
6194,RPS6,32953.613662,497,THCA,cBioPortal,,
7178,TPT1,66257.761404,57,UCS,cBioPortal,,
2495,FTH1,47989.863750,80,UVM,cBioPortal,,
2512,FTL,36602.510765,497,THCA,cBioPortal,,
3880,KRT19,63935.556679,407,BLCA,cBioPortal,,
5315,PKM2,38317.363808,407,BLCA,cBioPortal,,
3698,ITIH2,62075.722511,366,LIHC,cBioPortal,,
6194,RPS6,30955.227721,294,CESC,cBioPortal,,
7431,VIM,31344.565679,78,ACC,cBioPortal,,
6206,RPS12,39177.560586,173,LAML,cBioPortal,,
1191,CLU,41935.511839,510,KIRC,cBioPortal,,
3326,HSP90AB1,48046.062921,178,PCPG,cBioPortal,No,No
6124,RPL4,71965.952083,48,DLBC,cBioPortal,,
6222,RPS18,41068.971065,592,COADREAD,cBioPortal,,
3106,HLA-B,31718.060331,484,LUSC,cBioPortal,No,Yes
7178,TPT1,40717.163684,76,SKCM,cBioPortal,,
6175,RPLP0,39984.904156,527,UCEC,cBioPortal,,
6122,RPL3,69568.914583,48,DLBC,cBioPortal,,
1938,EEF2,217300.500000,80,UVM,cBioPortal,,
6217,RPS16,46239.125000,48,DLBC,cBioPortal,,
6171,RPL41,36411.444375,48,DLBC,cBioPortal,,
6202,RPS8,40708.191930,57,UCS,cBioPortal,,
4627,MYH9,41925.178877,181,ESCA,cBioPortal,No,No
9168,TMSB10,48722.945833,48,DLBC,cBioPortal,,
8788,DLK1,257907.406449,78,ACC,cBioPortal,,
3105,HLA-A,73010.677083,48,DLBC,cBioPortal,No,Yes
1938,EEF2,40900.182064,407,BLCA,cBioPortal,,
213,ALB,118020.220567,36,CHOL,cBioPortal,No,No
60,ACTB,133372.587770,139,GBM,cBioPortal,No,No
2778,GNAS,39402.253424,527,UCEC,cBioPortal,Yes,No
2495,FTH1,33924.313889,36,CHOL,cBioPortal,,
5317,PKP1,42593.410317,515,HNSC,cBioPortal,,
6176,RPLP1,67595.291667,48,DLBC,cBioPortal,,
6122,RPL3,50837.741722,527,UCEC,cBioPortal,,
3106,HLA-B,41773.915526,76,SKCM,cBioPortal,No,Yes
283120,H19,84502.030892,407,BLCA,cBioPortal,,
1281,COL3A1,59658.781060,181,ESCA,cBioPortal,,
6277,S100A6,48892.386117,497,THCA,cBioPortal,,
967,CD63,35500.112179,78,ACC,cBioPortal,,
351,APP,32926.271353,510,KIRC,cBioPortal,,
4680,CEACAM6,40543.725977,510,LUAD,cBioPortal,,
1509,CTSD,53344.821612,366,LIHC,cBioPortal,,
567,B2M,64471.589549,510,LUAD,cBioPortal,No,Yes
7178,TPT1,45248.987961,515,HNSC,cBioPortal,,
6122,RPL3,34320.317949,78,ACC,cBioPortal,,
3106,HLA-B,31161.608752,1082,BRCA,cBioPortal,No,Yes
2512,FTL,321304.611749,366,LIHC,cBioPortal,,
1191,CLU,59690.797026,78,ACC,cBioPortal,,
2597,GAPDH,77516.567361,592,COADREAD,cBioPortal,,
1191,CLU,56717.031236,178,PCPG,cBioPortal,,
378938,MALAT1,30802.195142,173,LAML,cBioPortal,,
7316,UBC,31075.923529,119,THYM,cBioPortal,,
1938,EEF2,65827.436975,119,THYM,cBioPortal,,
6157,RPL27A,47371.481667,48,DLBC,cBioPortal,,
28959,TMEM176B,32187.199790,366,LIHC,cBioPortal,,
6141,RPL18,44106.384375,48,DLBC,cBioPortal,,
6279,S100A8,58306.538321,515,HNSC,cBioPortal,,
7431,VIM,51480.808772,57,UCS,cBioPortal,,
7009,TMBIM6,37464.682213,366,LIHC,cBioPortal,,
71,ACTG1,86001.149698,497,THCA,cBioPortal,No,Yes
79026,AHNAK,53093.633401,173,LAML,cBioPortal,,
8755,ADAM6,146540.015641,510,LUAD,cBioPortal,,
2778,GNAS,54853.124615,65,KICH,cBioPortal,Yes,No
6122,RPL3,58799.236226,173,LAML,cBioPortal,,
2512,FTL,49622.922222,36,CHOL,cBioPortal,,
972,CD74,100042.804059,510,KIRC,cBioPortal,Yes,No
2512,FTL,38980.616724,181,ESCA,cBioPortal,,
6181,RPLP2,42907.738750,80,UVM,cBioPortal,,
60,ACTB,78514.557198,514,LGG,cBioPortal,No,No
229,ALDOB,108337.766077,366,LIHC,cBioPortal,,
1915,EEF1A1,77897.754510,510,LUAD,cBioPortal,,
5225,PGC,32296.324688,412,STAD,cBioPortal,,
3488,IGFBP5,38245.790237,253,SARC,cBioPortal,,
5037,PEBP1,53637.501410,78,ACC,cBioPortal,,
949,SCARB1,55230.464231,78,ACC,cBioPortal,,
1401,CRP,61869.230865,366,LIHC,cBioPortal,,
1291,COL6A1,70597.920751,253,SARC,cBioPortal,,
3872,KRT17,103724.524463,294,CESC,cBioPortal,,
3107,HLA-C,37424.371843,510,KIRC,cBioPortal,No,Yes
11151,CORO1A,41886.193750,48,DLBC,cBioPortal,,
1278,COL1A2,47211.842050,300,OV,cBioPortal,,
2810,SFN,80212.759087,515,HNSC,cBioPortal,,
10399,GNB2L1,32068.815132,76,SKCM,cBioPortal,,
2810,SFN,41327.706544,294,CESC,cBioPortal,,
60,ACTB,98464.604251,1082,BRCA,cBioPortal,No,No
5660,PSAP,39495.195798,119,THYM,cBioPortal,,
715,C1R,34851.117816,87,MESO,cBioPortal,,
2597,GAPDH,52778.448454,412,STAD,cBioPortal,,
64065,PERP,31545.523492,484,LUSC,cBioPortal,,
6224,RPS20,51202.562982,57,UCS,cBioPortal,,
6370,CCL25,42356.148542,119,THYM,cBioPortal,,
972,CD74,41483.633983,1082,BRCA,cBioPortal,Yes,No
6490,SILV,340169.438750,80,UVM,cBioPortal,,
71,ACTG1,42674.964508,366,LIHC,cBioPortal,No,Yes
6176,RPLP1,32455.661921,484,LUSC,cBioPortal,,
972,CD74,37432.286925,173,LAML,cBioPortal,Yes,No
9168,TMSB10,31492.598975,283,KIRP,cBioPortal,,
7316,UBC,45458.403162,253,SARC,cBioPortal,,
1277,COL1A1,294243.242759,87,MESO,cBioPortal,Yes,No
71,ACTG1,45438.250389,514,LGG,cBioPortal,No,Yes
2335,FN1,44078.410470,149,TGCT,cBioPortal,,
6122,RPL3,44442.167105,76,SKCM,cBioPortal,,
682,BSG,38812.896410,78,ACC,cBioPortal,,
26986,PABPC1,50449.167982,181,ESCA,cBioPortal,,
3481,IGF2,72764.260058,300,OV,cBioPortal,Yes,No
2597,GAPDH,58298.230588,510,LUAD,cBioPortal,,
5803,PTPRZ1,35882.952410,139,GBM,cBioPortal,,
6132,RPL8,46078.184078,515,HNSC,cBioPortal,,
4313,MMP2,36711.374652,253,SARC,cBioPortal,,
3481,IGF2,399392.089782,78,ACC,cBioPortal,Yes,No
71,ACTG1,58215.503328,493,PRAD,cBioPortal,No,Yes
8490,RGS5,53744.844631,510,KIRC,cBioPortal,,
6124,RPL4,40210.389217,527,UCEC,cBioPortal,,
5315,PKM2,43969.050620,484,LUSC,cBioPortal,,
183,AGT,80003.674852,366,LIHC,cBioPortal,,
2512,FTL,37157.949689,515,HNSC,cBioPortal,,
5005,ORM2,35190.176528,366,LIHC,cBioPortal,,
2597,GAPDH,57619.492090,177,PAAD,cBioPortal,,
10399,GNB2L1,40199.087719,57,UCS,cBioPortal,,
3868,KRT16,202126.280376,515,HNSC,cBioPortal,,
1278,COL1A2,51067.473079,484,LUSC,cBioPortal,,
6176,RPLP1,49302.155034,149,TGCT,cBioPortal,,
6141,RPL18,55419.588750,80,UVM,cBioPortal,,
3875,KRT18,30874.522527,592,COADREAD,cBioPortal,,
682,BSG,66878.409231,65,KICH,cBioPortal,,
4629,MYH11,65449.291459,493,PRAD,cBioPortal,No,Yes
3728,JUP,34745.846528,181,ESCA,cBioPortal,,
1915,EEF1A1,81517.666102,177,PAAD,cBioPortal,,
3106,HLA-B,34477.493459,181,ESCA,cBioPortal,No,Yes
7316,UBC,39499.054834,181,ESCA,cBioPortal,,
6203,RPS9,51607.321875,48,DLBC,cBioPortal,,
6277,S100A6,54878.184068,177,PAAD,cBioPortal,,
6124,RPL4,31151.842235,592,COADREAD,cBioPortal,,
1281,COL3A1,66419.691936,484,LUSC,cBioPortal,,
682,BSG,63449.038750,80,UVM,cBioPortal,,
10376,TUBA1B,35680.196644,149,TGCT,cBioPortal,,
