player_id,name,team,nationality,position,age,goals,assists,points,penalty_minutes,games_played,plus_minus
PL001,Connor McDavid,Edmonton Oilers,Canadian,C,27,64,89,153,42,82,28
PL002,Nathan MacKinnon,Colorado Avalanche,Canadian,C,28,51,82,133,36,79,22
PL003,Leon Draisaitl,Edmonton Oilers,German,C,28,55,75,130,40,80,18
PL004,David Pastrnak,Boston Bruins,Czech,RW,27,61,68,129,24,81,31
PL005,Nikita Kucherov,Tampa Bay Lightning,Russian,RW,30,44,100,144,38,82,19
PL006,Auston Matthews,Toronto Maple Leafs,American,C,26,69,55,124,28,79,15
PL007,Sidney Crosby,Pittsburgh Penguins,Canadian,C,36,42,72,114,32,82,10
PL008,Alex Ovechkin,Washington Capitals,Russian,LW,38,37,35,72,44,73,2
PL009,Cale Makar,Colorado Avalanche,Canadian,D,25,30,72,102,20,80,35
PL010,Roman Josi,Nashville Predators,Swiss,D,33,22,65,87,28,82,12
PL011,Victor Hedman,Tampa Bay Lightning,Swedish,D,33,18,62,80,24,81,20
PL012,Miro Heiskanen,Dallas Stars,Finnish,D,24,20,55,75,18,80,22
PL013,Adam Fox,New York Rangers,American,D,26,12,67,79,14,82,18
PL014,Rasmus Dahlin,Buffalo Sabres,Swedish,D,23,19,60,79,22,79,5
PL015,Quinn Hughes,Vancouver Canucks,American,D,24,16,72,88,16,82,14
PL016,Brayden Point,Tampa Bay Lightning,Canadian,C,27,45,56,101,22,80,16
PL017,Matthew Tkachuk,Florida Panthers,Canadian,LW,26,40,73,113,68,82,20
PL018,Elias Pettersson,Vancouver Canucks,Swedish,C,25,39,63,102,18,80,8
PL019,Jason Robertson,Dallas Stars,Canadian,LW,24,46,63,109,20,82,28
PL020,Tage Thompson,Buffalo Sabres,American,C,25,47,56,103,30,79,4
PL021,Jack Hughes,New Jersey Devils,American,C,22,43,62,105,14,78,12
PL022,Sebastian Aho,Carolina Hurricanes,Finnish,C,26,36,58,94,18,82,16
PL023,Kirill Kaprizov,Minnesota Wild,Russian,LW,26,47,51,98,24,80,18
PL024,Mitchell Marner,Toronto Maple Leafs,Canadian,RW,26,28,76,104,16,82,14
