movie_id,title,director,genre,release_year,runtime_min,rating,language,country,box_office_usd
MV001,The Shawshank Redemption,Frank Darabont,Drama,1994,142,9.3,English,USA,16000000
MV002,The Godfather,Francis Ford Coppola,Crime,1972,175,9.2,English,USA,250000000
MV003,The Dark Knight,Christopher Nolan,Action,2008,152,9.0,English,USA,1006000000
MV004,Schindler's List,Steven Spielberg,Drama,1993,195,9.0,English,USA,322000000
MV005,12 Angry Men,Sidney Lumet,Drama,1957,96,9.0,English,USA,4360000
MV006,The Lord of the Rings: The Return of the King,Peter Jackson,Fantasy,2003,201,9.0,English,New Zealand,1142000000
MV007,Pulp Fiction,Quentin Tarantino,Crime,1994,154,8.9,English,USA,214000000
MV008,The Good the Bad and the Ugly,Sergio Leone,Western,1966,178,8.8,Italian,Italy,25100000
MV009,Fight Club,David Fincher,Drama,1999,139,8.8,English,USA,101000000
MV010,Forrest Gump,Robert Zemeckis,Drama,1994,142,8.8,English,USA,678000000
MV011,Inception,Christopher Nolan,Sci-Fi,2010,148,8.8,English,USA,836800000
MV012,The Matrix,Lana Wachowski,Sci-Fi,1999,136,8.7,English,USA,467000000
MV013,Goodfellas,Martin Scorsese,Crime,1990,145,8.7,English,USA,47000000
MV014,The Silence of the Lambs,Jonathan Demme,Thriller,1991,118,8.6,English,USA,273000000
MV015,Interstellar,Christopher Nolan,Sci-Fi,2014,169,8.7,English,USA,773000000
MV016,Parasite,Bong Joon-ho,Thriller,2019,132,8.6,Korean,South Korea,265000000
MV017,The Lion King,Roger Allers,Animation,1994,88,8.5,English,USA,968000000
MV018,Spirited Away,Hayao Miyazaki,Animation,2001,125,8.6,Japanese,Japan,395000000
MV019,Saving Private Ryan,Steven Spielberg,War,1998,169,8.6,English,USA,482000000
MV020,Gladiator,Ridley Scott,Action,2000,155,8.5,English,USA,460000000
MV021,The Green Mile,Frank Darabont,Drama,1999,189,8.6,English,USA,290000000
MV022,Terminator 2: Judgment Day,James Cameron,Action,1991,137,8.6,English,USA,520000000
MV023,Avengers: Endgame,Anthony Russo,Action,2019,181,8.4,English,USA,2798000000
MV024,Avatar,James Cameron,Sci-Fi,2009,162,7.9,English,USA,2923000000
MV025,Star Wars: A New Hope,George Lucas,Sci-Fi,1977,121,8.6,English,USA,775000000
MV026,The Empire Strikes Back,Irvin Kershner,Sci-Fi,1980,124,8.7,English,USA,538000000
MV027,Jurassic Park,Steven Spielberg,Sci-Fi,1993,127,8.2,English,USA,1030000000
MV028,Titanic,James Cameron,Romance,1997,194,7.9,English,USA,2201000000
MV029,Back to the Future,Robert Zemeckis,Sci-Fi,1985,116,8.5,English,USA,388000000
MV030,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,Adventure,1981,115,8.4,English,USA,389000000
MV031,Toy Story,John Lasseter,Animation,1995,81,8.3,English,USA,394000000
MV032,Finding Nemo,Andrew Stanton,Animation,2003,100,8.1,English,USA,940000000
MV033,WALL-E,Andrew Stanton,Animation,2008,98,8.4,English,USA,534000000
MV034,Up,Pete Docter,Animation,2009,96,8.3,English,USA,735000000
