Cancer_Type,Hugo_Symbol,Gene_Id_Entrez,Hotspot,Number_of_Mutated_Samples,Total_Number_of_Samples,Overall_Mutation_Frequency,Dataset_Name,Is_Oncogene,Is_Tumour_Suppressor_Gene,Is_WDR
BRCA,DPH7,92715,0,3,1009,0.3,cBioPortal,--,--,true
BLCA,RWDD3,25950,0,2,409,0.49,cBioPortal,--,--,true
ESCA,WDR45,11152,0,1,182,0.55,cBioPortal,--,--,true
CESC,MED16,10025,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,AMBRA1,55626,0,18,528,3.41,cBioPortal,--,--,true
COADREAD,WDR73,84942,0,4,528,0.76,cBioPortal,--,--,true
GBM,CDRT1,374286,0,2,393,0.51,cBioPortal,--,--,true
HNSC,AAMP,14,0,1,502,0.2,cBioPortal,--,--,true
LAML,PHIP,55023,0,3,199,1.51,cBioPortal,--,--,true
KIRC,DYNC1I1,1780,0,1,356,0.28,cBioPortal,--,--,true
LGG,ZNF474,133923,0,1,509,0.2,cBioPortal,--,--,true
LIHC,THOC6,79228,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WDR43,23160,0,3,561,0.53,cBioPortal,--,--,true
LUSC,IFT122,55764,0,11,469,2.35,cBioPortal,--,--,true
SKCM,CDC20B,166979,0,25,440,5.68,cBioPortal,--,--,true
SKCM,WDR81,124997,0,12,440,2.73,cBioPortal,--,--,true
OV,CDH1,999,0,4,409,0.98,cBioPortal,false,true,true
PAAD,WDR24,84219,0,1,174,0.57,cBioPortal,--,--,true
PRAD,RBBP5,5929,0,1,491,0.2,cBioPortal,--,--,true
UCEC,WDFY3,23001,0,78,515,15.15,cBioPortal,--,--,true
UCEC,WDR45,11152,0,28,515,5.44,cBioPortal,--,--,true
STAD,WDR3,10885,0,5,435,1.15,cBioPortal,--,--,true
BRCA,WDR4,10785,0,3,1009,0.3,cBioPortal,--,--,true
BLCA,SRFBP1,153443,0,4,409,0.98,cBioPortal,--,--,true
ESCA,WDR4,10785,0,1,182,0.55,cBioPortal,--,--,true
CESC,DMWD,1762,0,7,281,2.49,cBioPortal,--,--,true
COADREAD,TLE1,7088,0,9,528,1.7,cBioPortal,false,false,true
COADREAD,WDR74,54663,0,3,528,0.57,cBioPortal,--,--,true
GBM,SMU1,55234,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR18,57418,0,2,502,0.4,cBioPortal,--,--,true
LAML,EED,8726,0,2,199,1.01,cBioPortal,false,true,true
KIRC,ELP2,55250,0,2,356,0.56,cBioPortal,false,false,true
LGG,PPP2R2C,5522,0,2,509,0.39,cBioPortal,--,--,true
LIHC,KCTD3,51133,0,1,358,0.28,cBioPortal,--,--,true
LUAD,TBL1X,6907,0,7,561,1.25,cBioPortal,--,--,true
LUSC,DCAF6,55827,0,5,469,1.07,cBioPortal,--,--,true
SKCM,C2orf44,0,0,9,440,2.05,cBioPortal,--,--,true
SKCM,WDR76,79968,0,8,440,1.82,cBioPortal,--,--,true
OV,WDR74,54663,0,1,409,0.24,cBioPortal,--,--,true
PAAD,CDH1,999,0,1,174,0.57,cBioPortal,false,true,true
PRAD,MIOS,54468,0,2,491,0.41,cBioPortal,--,--,true
UCEC,WDR36,134430,0,35,515,6.8,cBioPortal,--,--,true
UCEC,DCAF10,79269,0,21,515,4.08,cBioPortal,--,--,true
STAD,FBXW8,26259,0,4,435,0.92,cBioPortal,--,--,true
BRCA,GTF3C2,2976,0,5,1009,0.5,cBioPortal,--,--,true
BLCA,GNB4,59345,0,4,409,0.98,cBioPortal,--,--,true
ESCA,WDR41,55255,0,2,182,1.1,cBioPortal,--,--,true
CESC,GRWD1,83743,0,2,281,0.71,cBioPortal,--,--,true
COADREAD,TAF5,6877,0,12,528,2.27,cBioPortal,--,--,true
COADREAD,WDR61,80349,0,4,528,0.76,cBioPortal,--,--,true
GBM,RFWD2,0,0,2,393,0.51,cBioPortal,--,--,true
HNSC,STRAP,11171,0,1,502,0.2,cBioPortal,--,--,true
LAML,BRWD3,254065,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDR5B,54554,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDR36,134430,0,1,509,0.2,cBioPortal,--,--,true
LIHC,FBXW12,285231,0,1,358,0.28,cBioPortal,--,--,true
LUAD,ATG16L2,89849,0,3,561,0.53,cBioPortal,--,--,true
LUSC,RWDD3,25950,0,3,469,0.64,cBioPortal,--,--,true
SKCM,CARD16,114769,0,8,440,1.82,cBioPortal,--,--,true
SKCM,WDR77,79084,0,5,440,1.14,cBioPortal,--,--,true
OV,DCAF4L2,138009,0,5,409,1.22,cBioPortal,--,--,true
PAAD,CIRH1A,0,0,1,174,0.57,cBioPortal,--,--,true
PRAD,GNB1L,54584,0,1,491,0.2,cBioPortal,--,--,true
UCEC,IFT122,55764,0,32,515,6.21,cBioPortal,--,--,true
UCEC,KIAA1432,0,0,42,515,8.16,cBioPortal,--,--,true
STAD,GNB2L1,0,0,3,435,0.69,cBioPortal,--,--,true
BRCA,BUB3,9184,0,4,1009,0.4,cBioPortal,--,--,true
BLCA,EGFR,1956,0,8,409,1.96,cBioPortal,true,false,false
ESCA,WDR43,23160,0,2,182,1.1,cBioPortal,--,--,true
CESC,NLRP4,147945,0,8,281,2.85,cBioPortal,--,--,true
COADREAD,HPS5,11234,0,9,528,1.7,cBioPortal,--,--,true
COADREAD,GNB3,2784,0,6,528,1.14,cBioPortal,--,--,true
GBM,WDR31,114987,0,2,393,0.51,cBioPortal,--,--,true
HNSC,CSTF1,1477,0,3,502,0.6,cBioPortal,--,--,true
LAML,DCAF8,50717,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDR63,0,0,1,356,0.28,cBioPortal,--,--,true
LGG,DMXL1,1657,0,5,509,0.98,cBioPortal,--,--,true
LIHC,TBL1X,6907,0,1,358,0.28,cBioPortal,--,--,true
LUAD,GRWD1,83743,0,2,561,0.36,cBioPortal,--,--,true
LUSC,DNAI2,64446,0,9,469,1.92,cBioPortal,--,--,true
SKCM,CDC20,991,0,3,440,0.68,cBioPortal,--,--,true
SKCM,WDR78,0,0,14,440,3.18,cBioPortal,--,--,true
OV,TEP1,7011,0,10,409,2.44,cBioPortal,--,--,true
PAAD,WDR90,197335,0,1,174,0.57,cBioPortal,false,false,true
PRAD,DENND3,22898,0,2,491,0.41,cBioPortal,--,--,true
UCEC,WDR1,9948,0,20,515,3.88,cBioPortal,--,--,true
UCEC,WDR13,64743,0,28,515,5.44,cBioPortal,--,--,true
STAD,FBXW9,84261,0,4,435,0.92,cBioPortal,--,--,true
BRCA,CSTF1,1477,0,2,1009,0.2,cBioPortal,--,--,true
BLCA,FBXW11,23291,0,1,409,0.24,cBioPortal,--,--,true
ESCA,TAF5,6877,0,2,182,1.1,cBioPortal,--,--,true
CESC,MAPKBP1,23005,0,5,281,1.78,cBioPortal,--,--,true
CHOL,PAFAH1B1,5048,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,ELP2,55250,0,11,528,2.08,cBioPortal,false,false,true
KIRP,DCAF5,8816,0,1,274,0.36,cBioPortal,--,--,true
GBM,DCAF12L1,139170,0,7,393,1.78,cBioPortal,--,--,true
HNSC,IFT140,9742,0,8,502,1.59,cBioPortal,--,--,true
KIRC,SHKBP1,92799,0,2,356,0.56,cBioPortal,--,--,true
LGG,KIF21B,23046,0,2,509,0.39,cBioPortal,--,--,true
LIHC,POC1B,282809,0,1,358,0.28,cBioPortal,--,--,true
LUAD,LRBA,987,0,21,561,3.74,cBioPortal,--,--,true
LUSC,DDB1,1642,0,5,469,1.07,cBioPortal,--,--,true
SKCM,WDR33,55339,0,36,440,8.18,cBioPortal,--,--,true
OV,WDR78,0,0,3,409,0.73,cBioPortal,--,--,true
PAAD,MPP7,143098,0,1,174,0.57,cBioPortal,--,--,true
PRAD,GRWD1,83743,0,1,491,0.2,cBioPortal,--,--,true
SARC,DCAF11,80344,0,1,234,0.43,cBioPortal,--,--,true
UCEC,SCAP,22937,0,36,515,6.99,cBioPortal,--,--,true
STAD,WDR44,54521,0,8,435,1.84,cBioPortal,--,--,true
THYM,DMXL1,1657,0,3,123,2.44,cBioPortal,--,--,true
BRCA,DCAF4L2,138009,0,12,1009,1.19,cBioPortal,--,--,true
BLCA,PAAF1,80227,0,7,409,1.71,cBioPortal,--,--,true
ESCA,STRN4,29888,0,1,182,0.55,cBioPortal,--,--,true
CESC,WDHD1,11169,0,2,281,0.71,cBioPortal,--,--,true
CHOL,EML5,161436,0,2,36,5.56,cBioPortal,--,--,true
COADREAD,WDR91,29062,0,11,528,2.08,cBioPortal,--,--,true
KIRP,PPWD1,23398,0,1,274,0.36,cBioPortal,--,--,true
GBM,DCAF12,25853,0,3,393,0.76,cBioPortal,--,--,true
HNSC,WDR3,10885,0,7,502,1.39,cBioPortal,--,--,true
KIRC,CDH1,999,0,1,356,0.28,cBioPortal,false,true,true
LGG,WDR47,22911,0,1,509,0.2,cBioPortal,--,--,true
LIHC,TBL3,10607,0,4,358,1.12,cBioPortal,--,--,true
LUAD,CSTF1,1477,0,7,561,1.25,cBioPortal,--,--,true
LUSC,WDR43,23160,0,8,469,1.71,cBioPortal,--,--,true
SKCM,WDR27,253769,0,18,440,4.09,cBioPortal,--,--,true
OV,RFWD2,0,0,3,409,0.73,cBioPortal,--,--,true
PAAD,PIK3R4,30849,0,2,174,1.15,cBioPortal,--,--,true
PRAD,WDR70,55100,0,3,491,0.61,cBioPortal,--,--,true
SARC,SEC31A,22872,0,1,234,0.43,cBioPortal,false,false,true
UCEC,IFT80,57560,0,39,515,7.57,cBioPortal,--,--,true
STAD,CDC40,51362,0,8,435,1.84,cBioPortal,--,--,true
THYM,KIF21A,55605,0,1,123,0.81,cBioPortal,--,--,true
BRCA,WDR93,56964,0,8,1009,0.79,cBioPortal,--,--,true
BLCA,EML1,2009,0,11,409,2.69,cBioPortal,--,--,true
ESCA,STXBP5,134957,0,4,182,2.2,cBioPortal,--,--,true
CESC,EIF2S1,1965,0,4,281,1.42,cBioPortal,--,--,true
CHOL,WDR93,56964,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,PRPF4,9128,0,7,528,1.33,cBioPortal,--,--,true
KIRP,WDR87,83889,0,1,274,0.36,cBioPortal,--,--,true
GBM,TLE1,7088,0,2,393,0.51,cBioPortal,false,false,true
HNSC,WDR78,0,0,4,502,0.8,cBioPortal,--,--,true
KIRC,WDR13,64743,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDR77,79084,0,2,509,0.39,cBioPortal,--,--,true
LIHC,DCAF12L1,139170,0,3,358,0.84,cBioPortal,--,--,true
LUAD,STRN,6801,0,13,561,2.32,cBioPortal,false,false,true
LUSC,TBC1D31,93594,0,7,469,1.49,cBioPortal,--,--,true
SKCM,WDR3,10885,0,17,440,3.86,cBioPortal,--,--,true
OV,WDR26,80232,0,1,409,0.24,cBioPortal,--,--,true
PAAD,WDR11,55717,0,1,174,0.57,cBioPortal,--,--,true
PRAD,C18orf8,0,0,3,491,0.61,cBioPortal,--,--,true
SARC,WDR44,54521,0,1,234,0.43,cBioPortal,--,--,true
UCEC,TBL1XR1,79718,0,36,515,6.99,cBioPortal,true,false,true
STAD,WDR27,253769,0,3,435,0.69,cBioPortal,--,--,true
THYM,WDR81,124997,0,2,123,1.63,cBioPortal,--,--,true
BRCA,TEP1,7011,0,19,1009,1.88,cBioPortal,--,--,true
BLCA,UTP18,51096,0,7,409,1.71,cBioPortal,--,--,true
ESCA,STXBP5L,9515,0,7,182,3.85,cBioPortal,--,--,true
CESC,DCAF5,8816,0,4,281,1.42,cBioPortal,--,--,true
CHOL,WDFY4,57705,0,2,36,5.56,cBioPortal,--,--,true
COADREAD,PBLD,64081,0,3,528,0.57,cBioPortal,--,--,true
KIRP,FBXW7,55294,0,1,274,0.36,cBioPortal,false,true,true
GBM,WDR44,54521,0,2,393,0.51,cBioPortal,--,--,true
HNSC,CORO2B,10391,0,4,502,0.8,cBioPortal,--,--,true
KIRC,NUP37,79023,0,2,356,0.56,cBioPortal,--,--,true
LGG,COPA,1314,0,1,509,0.2,cBioPortal,--,--,true
LIHC,DCAF8L2,347442,0,2,358,0.56,cBioPortal,--,--,true
LUAD,FBXW12,285231,0,6,561,1.07,cBioPortal,--,--,true
LUSC,WDR59,79726,0,7,469,1.49,cBioPortal,--,--,true
SKCM,WDR31,114987,0,14,440,3.18,cBioPortal,--,--,true
OV,LYST,1130,0,11,409,2.69,cBioPortal,--,--,true
PAAD,BUB3,9184,0,1,174,0.57,cBioPortal,--,--,true
PRAD,DMXL1,1657,0,4,491,0.81,cBioPortal,--,--,true
SARC,PPWD1,23398,0,1,234,0.43,cBioPortal,--,--,true
UCEC,WDR53,348793,0,14,515,2.72,cBioPortal,--,--,true
STAD,WDR60,0,0,9,435,2.07,cBioPortal,--,--,true
THYM,EIF3I,8668,0,1,123,0.81,cBioPortal,--,--,true
BRCA,STRN,6801,0,3,1009,0.3,cBioPortal,false,false,true
BLCA,CORO1A,11151,0,7,409,1.71,cBioPortal,--,--,true
ESCA,TBL1XR1,79718,0,3,182,1.65,cBioPortal,true,false,true
CESC,WDR72,256764,0,4,281,1.42,cBioPortal,--,--,true
CHOL,PHIP,55023,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,NUP37,79023,0,4,528,0.76,cBioPortal,--,--,true
KIRP,APAF1,317,0,2,274,0.73,cBioPortal,--,--,true
GBM,WDR45,11152,0,3,393,0.76,cBioPortal,--,--,true
HNSC,WDTC1,23038,0,4,502,0.8,cBioPortal,--,--,true
KIRC,WRAP73,49856,0,4,356,1.12,cBioPortal,--,--,true
LGG,WDR64,128025,0,2,509,0.39,cBioPortal,--,--,true
LIHC,SEC13,6396,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WDR73,84942,0,2,561,0.36,cBioPortal,--,--,true
LUSC,WDR4,10785,0,3,469,0.64,cBioPortal,--,--,true
SKCM,WDR37,22884,0,11,440,2.5,cBioPortal,--,--,true
OV,NBEAL1,65065,0,5,409,1.22,cBioPortal,--,--,true
PAAD,EML3,256364,0,2,174,1.15,cBioPortal,--,--,true
PRAD,TLE1,7088,0,4,491,0.81,cBioPortal,false,false,true
SARC,PPP2R2C,5522,0,1,234,0.43,cBioPortal,--,--,true
UCEC,RWDD4,201965,0,9,515,1.75,cBioPortal,--,--,true
STAD,PBLD,64081,0,1,435,0.23,cBioPortal,--,--,true
THYM,PPWD1,23398,0,1,123,0.81,cBioPortal,--,--,true
BRCA,FBXO30,84085,0,4,1009,0.4,cBioPortal,--,--,true
BLCA,CORO7,79585,0,4,409,0.98,cBioPortal,--,--,true
ESCA,TAF5L,27097,0,3,182,1.65,cBioPortal,--,--,true
CESC,ZNF106,64397,0,8,281,2.85,cBioPortal,--,--,true
CHOL,POC1B,282809,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,WDFY1,57590,0,4,528,0.76,cBioPortal,--,--,true
KIRP,STXBP5,134957,0,2,274,0.73,cBioPortal,--,--,true
GBM,RBBP7,5931,0,1,393,0.25,cBioPortal,--,--,true
HNSC,RWDD1,51389,0,1,502,0.2,cBioPortal,--,--,true
KIRC,DNAI1,27019,0,1,356,0.28,cBioPortal,--,--,true
LGG,DTL,51514,0,1,509,0.2,cBioPortal,--,--,true
LIHC,WDR19,57728,0,3,358,0.84,cBioPortal,--,--,true
LUAD,FBXW2,26190,0,5,561,0.89,cBioPortal,false,false,true
LUSC,PAN2,9924,0,6,469,1.28,cBioPortal,--,--,true
SKCM,WDR34,0,0,8,440,1.82,cBioPortal,--,--,true
OV,BRWD1,54014,0,8,409,1.96,cBioPortal,--,--,true
PAAD,PGR,5241,0,1,174,0.57,cBioPortal,true,false,false
PRAD,COPB2,9276,0,2,491,0.41,cBioPortal,--,--,true
SARC,DCAF8,50717,0,2,234,0.85,cBioPortal,--,--,true
UCEC,FBXW12,285231,0,15,515,2.91,cBioPortal,--,--,true
STAD,SEC31B,25956,0,18,435,4.14,cBioPortal,--,--,true
THYM,DCAF10,79269,0,1,123,0.81,cBioPortal,--,--,true
BRCA,DCAF12L1,139170,0,7,1009,0.69,cBioPortal,--,--,true
BLCA,LYST,1130,0,32,409,7.82,cBioPortal,--,--,true
ESCA,TBC1D31,93594,0,3,182,1.65,cBioPortal,--,--,true
CESC,DMXL2,23312,0,14,281,4.98,cBioPortal,--,--,true
CHOL,MED16,10025,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,ZNF474,133923,0,7,528,1.33,cBioPortal,--,--,true
KIRP,CIRH1A,0,0,1,274,0.36,cBioPortal,--,--,true
GBM,DCAF8L1,139425,0,4,393,1.02,cBioPortal,--,--,true
HNSC,FBXW5,54461,0,1,502,0.2,cBioPortal,--,--,true
KIRC,EML5,161436,0,4,356,1.12,cBioPortal,--,--,true
LGG,TAF5L,27097,0,1,509,0.2,cBioPortal,--,--,true
LIHC,PALB2,79728,0,1,358,0.28,cBioPortal,false,true,true
LUAD,WIPI1,55062,0,5,561,0.89,cBioPortal,--,--,true
LUSC,APAF1,317,0,11,469,2.35,cBioPortal,--,--,true
SKCM,WDR35,57539,0,16,440,3.64,cBioPortal,--,--,true
OV,WDR75,84128,0,3,409,0.73,cBioPortal,--,--,true
PAAD,HPS5,11234,0,1,174,0.57,cBioPortal,--,--,true
PRAD,EML2,24139,0,2,491,0.41,cBioPortal,--,--,true
SARC,DCAF5,8816,0,1,234,0.43,cBioPortal,--,--,true
UCEC,WDR82,80335,0,15,515,2.91,cBioPortal,--,--,true
STAD,RBBP4,5928,0,7,435,1.61,cBioPortal,--,--,true
THYM,SCAP,22937,0,1,123,0.81,cBioPortal,--,--,true
BRCA,WDR66,0,0,12,1009,1.19,cBioPortal,--,--,true
BLCA,DENND3,22898,0,8,409,1.96,cBioPortal,--,--,true
ESCA,TBL1X,6907,0,1,182,0.55,cBioPortal,--,--,true
CESC,GNB5,10681,0,4,281,1.42,cBioPortal,--,--,true
CHOL,ERBB2,2064,0,2,36,5.56,cBioPortal,true,false,false
COADREAD,GEMIN5,25929,0,14,528,2.65,cBioPortal,--,--,true
KIRP,GNB1,2782,0,1,274,0.36,cBioPortal,true,false,true
GBM,WDR13,64743,0,1,393,0.25,cBioPortal,--,--,true
HNSC,TECPR2,9895,0,4,502,0.8,cBioPortal,--,--,true
KIRC,TLE3,7090,0,1,356,0.28,cBioPortal,false,false,true
LGG,LYST,1130,0,4,509,0.79,cBioPortal,--,--,true
LIHC,CARD16,114769,0,1,358,0.28,cBioPortal,--,--,true
LUAD,CDC20B,166979,0,11,561,1.96,cBioPortal,--,--,true
LUSC,FBXW9,84261,0,4,469,0.85,cBioPortal,--,--,true
SKCM,WDR36,134430,0,13,440,2.95,cBioPortal,--,--,true
OV,WDR12,55759,0,1,409,0.24,cBioPortal,--,--,true
PAAD,AMBRA1,55626,0,1,174,0.57,cBioPortal,--,--,true
PRAD,PHIP,55023,0,3,491,0.61,cBioPortal,--,--,true
SARC,RAE1,8480,0,1,234,0.43,cBioPortal,--,--,true
UCEC,PLRG1,5356,0,26,515,5.05,cBioPortal,--,--,true
STAD,WDR34,0,0,4,435,0.92,cBioPortal,--,--,true
THYM,DCAF8,50717,0,1,123,0.81,cBioPortal,--,--,true
BRCA,HPS5,11234,0,5,1009,0.5,cBioPortal,--,--,true
BLCA,STXBP5,134957,0,6,409,1.47,cBioPortal,--,--,true
ESCA,TLE1,7088,0,3,182,1.65,cBioPortal,false,false,true
CESC,WDR61,80349,0,2,281,0.71,cBioPortal,--,--,true
CHOL,IFT172,26160,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,TLE6,79816,0,13,528,2.46,cBioPortal,--,--,true
KIRP,STRN3,29966,0,1,274,0.36,cBioPortal,--,--,true
GBM,EML2,24139,0,4,393,1.02,cBioPortal,--,--,true
HNSC,CORO6,84940,0,2,502,0.4,cBioPortal,--,--,true
KIRC,EML1,2009,0,1,356,0.28,cBioPortal,--,--,true
LGG,WRAP73,49856,0,2,509,0.39,cBioPortal,--,--,true
LIHC,PRPF4,9128,0,1,358,0.28,cBioPortal,--,--,true
LUAD,ATG16L1,55054,0,8,561,1.43,cBioPortal,--,--,true
LUSC,CDRT1,374286,0,8,469,1.71,cBioPortal,--,--,true
SKCM,WDR43,23160,0,12,440,2.73,cBioPortal,--,--,true
OV,STXBP5L,9515,0,8,409,1.96,cBioPortal,--,--,true
PAAD,PWP1,11137,0,2,174,1.15,cBioPortal,--,--,true
PRAD,WDR78,0,0,1,491,0.2,cBioPortal,--,--,true
SARC,PRPF4,9128,0,1,234,0.43,cBioPortal,--,--,true
UCEC,FBXW11,23291,0,25,515,4.85,cBioPortal,--,--,true
STAD,STRAP,11171,0,4,435,0.92,cBioPortal,--,--,true
THYM,EED,8726,0,1,123,0.81,cBioPortal,false,true,true
BRCA,NUP43,348995,0,5,1009,0.5,cBioPortal,--,--,true
BLCA,DAW1,164781,0,6,409,1.47,cBioPortal,--,--,true
ESCA,TBL3,10607,0,2,182,1.1,cBioPortal,--,--,true
CESC,HERC1,8925,0,13,281,4.63,cBioPortal,--,--,true
CHOL,NBEAL1,65065,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,POC1B,282809,0,9,528,1.7,cBioPortal,--,--,true
KIRP,WDSUB1,151525,0,1,274,0.36,cBioPortal,--,--,true
GBM,TBL1X,6907,0,3,393,0.76,cBioPortal,--,--,true
HNSC,TLE2,7089,0,4,502,0.8,cBioPortal,false,false,true
KIRC,STXBP5,134957,0,1,356,0.28,cBioPortal,--,--,true
LGG,WDTC1,23038,0,1,509,0.2,cBioPortal,--,--,true
LIHC,TBL2,26608,0,1,358,0.28,cBioPortal,--,--,true
LUAD,PAN2,9924,0,6,561,1.07,cBioPortal,--,--,true
LUSC,WDR33,55339,0,16,469,3.41,cBioPortal,--,--,true
SKCM,WDR38,401551,0,4,440,0.91,cBioPortal,--,--,true
OV,C2orf44,0,0,2,409,0.49,cBioPortal,--,--,true
