hugo_symbol_a,hugo_symbol_b,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
STAC2,ATP13A5,0,0,0,0,0,139,0,0,46,0,0,203,65,305,STRING_v12,,,,
CD48,LAMP1,0,0,0,0,0,0,55,0,48,0,0,315,0,329,STRING_v12,,,,
PPID,RPL9,0,0,0,0,0,118,183,0,91,0,0,0,80,316,STRING_v12,,,,
TLR4,SRGN,0,0,0,0,0,247,0,0,0,0,0,182,0,357,STRING_v12,,,,
RPL22,NFXL1,0,0,0,0,0,0,0,0,297,0,0,0,0,297,STRING_v12,No,No,,
PTPN13,PTPRU,0,0,0,0,559,67,0,0,98,0,0,493,0,536,STRING_v12,No,Yes,,
TICAM1,TYK2,0,0,0,0,0,85,104,0,92,0,0,270,0,383,STRING_v12,,,Yes,No
PLOD1,SETDB2,0,0,0,0,0,0,0,0,0,650,0,0,0,650,STRING_v12,,,No,Yes
CSF3,TYK2,0,0,0,0,0,0,0,0,0,500,0,398,51,689,STRING_v12,,,Yes,No
OTUD5,USP35,0,0,0,0,0,67,0,0,0,0,0,220,133,313,STRING_v12,,,,
GAGE12C,RPL9,0,59,0,0,0,0,400,0,403,0,0,0,145,673,STRING_v12,,,,
CFLAR,DTX1,0,0,0,0,0,0,0,292,50,0,0,164,50,394,STRING_v12,,,No,Yes
APH1A,DTX1,0,0,0,0,0,0,0,0,0,400,0,336,0,584,STRING_v12,No,No,No,Yes
CCL3,LAMP1,0,0,0,0,0,0,0,0,0,0,0,418,51,424,STRING_v12,,,,
FOS,EOMES,0,0,0,0,0,0,0,0,71,0,0,298,45,322,STRING_v12,,,,
SYT4,NFASC,0,0,0,0,0,159,96,0,0,0,0,93,76,277,STRING_v12,,,,
WASHC5,LAMP1,0,0,0,0,0,84,0,0,0,0,0,258,0,291,STRING_v12,,,,
ZSCAN31,LYSMD3,0,0,0,0,0,42,0,0,0,0,0,269,0,269,STRING_v12,,,,
KCNF1,FXR2,0,0,0,0,0,42,0,0,0,0,0,683,56,688,STRING_v12,,,,
FYB1,CARD14,0,0,0,0,0,0,67,0,0,0,0,337,0,354,STRING_v12,,,,
PLEKHG7,PLEKHG4,0,0,0,0,0,0,0,84,0,0,0,137,138,259,STRING_v12,,,,
HSPA1A,RPL9,0,0,0,0,0,42,111,0,288,0,0,113,116,437,STRING_v12,,,,
DMWD,USP35,0,0,0,0,0,42,55,0,184,0,0,0,187,319,STRING_v12,,,,
EOMES,LAMP1,0,0,0,0,0,0,0,0,0,0,0,507,50,511,STRING_v12,,,,
EMSY,CHD8,0,0,0,0,0,300,141,0,0,0,0,94,57,417,STRING_v12,Yes,No,,
TAC3,TRPV1,0,0,0,0,0,47,0,0,0,0,0,290,0,294,STRING_v12,,,,
DDX6,RPL9,0,0,0,0,0,107,67,0,167,0,0,69,67,287,STRING_v12,No,No,,
PPP1R1A,FXR2,0,0,0,0,0,0,0,0,0,0,0,71,250,273,STRING_v12,,,,
UBE2G2,ATP13A5,0,0,0,0,0,0,0,0,45,0,0,127,183,259,STRING_v12,,,,
MT-ATP6,LINS1,0,0,0,0,0,0,0,0,0,0,0,395,0,394,STRING_v12,,,,
SRSF1,PLEKHG4,0,0,0,0,0,45,0,0,0,0,0,303,0,305,STRING_v12,,,,
IL4R,CXCL5,0,0,0,0,0,43,55,0,0,0,0,260,0,272,STRING_v12,,,,
RNF113B,RPL9,0,0,0,0,0,0,63,0,261,0,0,0,53,286,STRING_v12,,,,
SREK1IP1,IPO11,0,0,0,0,0,62,0,0,0,0,0,197,134,290,STRING_v12,,,,
RBCK1,CARD14,0,0,0,0,0,0,0,0,0,0,0,298,47,302,STRING_v12,,,,
DACT1,SETDB2,0,0,0,0,0,0,0,0,0,0,0,58,353,364,STRING_v12,,,No,Yes
MGA,CHD8,0,0,0,0,0,53,88,0,71,900,0,0,0,909,STRING_v12,No,Yes,,
ARRDC3,LYSMD3,0,0,0,0,0,109,0,0,0,0,0,286,349,549,STRING_v12,,,,
COL4A6,CRTAP,0,0,0,0,0,44,60,0,0,500,0,60,347,673,STRING_v12,,,,
YES1,TYK2,0,0,0,0,639,0,77,0,45,0,0,262,0,292,STRING_v12,Yes,No,Yes,No
SCN10A,TRPV1,0,0,0,0,0,0,0,0,0,0,0,791,112,806,STRING_v12,,,,
TLR4,CMA1,0,0,0,0,0,49,75,0,0,0,0,314,0,343,STRING_v12,,,,
CXCR6,EOMES,0,0,0,0,0,254,61,0,0,0,0,571,73,684,STRING_v12,,,,
HDDC3,CARD14,0,59,0,0,0,0,87,0,0,0,175,0,136,305,STRING_v12,,,,
IL18RAP,TYK2,0,0,0,0,0,61,91,0,0,0,0,229,0,284,STRING_v12,,,Yes,No
MYBBP1A,NFXL1,0,0,0,0,0,49,84,0,0,0,0,138,201,319,STRING_v12,,,,
COL4A4,CRTAP,0,0,0,0,0,0,0,0,0,500,0,0,47,503,STRING_v12,,,,
GLUD1,IAH1,0,61,0,0,0,55,0,0,0,0,792,0,93,810,STRING_v12,,,,
ERCC4,CHD8,0,0,0,0,0,108,0,0,136,0,0,75,102,274,STRING_v12,No,Yes,,
RAB11A,LAMP1,0,0,0,0,0,49,0,185,0,0,0,720,263,818,STRING_v12,,,,
C1QB,SRGN,0,0,0,0,0,109,0,236,0,0,0,176,0,390,STRING_v12,,,,
LCN2,CXCL5,0,0,0,0,0,78,54,0,0,0,0,479,52,511,STRING_v12,,,,
HOPX,EOMES,0,0,0,0,0,79,0,0,71,0,0,479,68,528,STRING_v12,,,,
EED,SETDB2,0,0,0,0,0,49,52,0,314,0,0,149,130,458,STRING_v12,No,Yes,No,Yes
TFRC,SCAMP1,0,0,0,0,0,0,55,303,0,0,0,0,0,313,STRING_v12,No,No,,
KPNA2,IPO11,0,0,0,0,0,67,0,0,0,0,0,248,166,363,STRING_v12,,,,
