n,hugo_symbol_a,entrez_gene_id_a,hugo_symbol_b,entrez_gene_id_b,spearmancorr,spearmanp,pearsoncorr,pearsonp,spearmancorrsquare,pearsoncorrsquare,cancer_type,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
48,A1BG,1,A2LD1,87769,0.274,0.06,0.366,0.011,0.075,0.134,DLBC,cBioPortal,,,,
48,A1BG,1,AACS,65985,0.316,0.029,0.32,0.027,0.1,0.102,DLBC,cBioPortal,,,,
48,A1BG,1,AAK1,22848,-0.279,0.055,-0.295,0.042,0.078,0.087,DLBC,cBioPortal,,,,
48,A1BG,1,AAMP,14,0.212,0.148,0.249,0.088,0.045,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,AARSD1,80755,0.541,0,0.491,0,0.293,0.242,DLBC,cBioPortal,,,,
48,A1BG,1,AASDH,132949,-0.419,0.003,-0.445,0.002,0.175,0.198,DLBC,cBioPortal,,,,
48,A1BG,1,AASDHPPT,60496,-0.501,0,-0.403,0.005,0.251,0.162,DLBC,cBioPortal,,,,
48,A1BG,1,AATF,26574,0.431,0.002,0.475,0.001,0.185,0.226,DLBC,cBioPortal,,,,
48,A1BG,1,AATK,9625,-0.03,0.842,0.265,0.069,0.001,0.07,DLBC,cBioPortal,,,,
48,A1BG,1,ABAT,18,-0.189,0.199,-0.275,0.058,0.036,0.076,DLBC,cBioPortal,,,,
48,A1BG,1,ABCA1,19,-0.547,0,-0.486,0,0.299,0.236,DLBC,cBioPortal,,,,
48,A1BG,1,ABCA17P,650655,0.283,0.051,0.398,0.005,0.08,0.158,DLBC,cBioPortal,,,,
48,A1BG,1,ABCA3,21,0.183,0.214,0.253,0.082,0.033,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ABCA9,10350,-0.155,0.292,-0.21,0.153,0.024,0.044,DLBC,cBioPortal,,,,
48,A1BG,1,ABCB10,23456,-0.421,0.003,-0.369,0.01,0.177,0.136,DLBC,cBioPortal,,,,
48,A1BG,1,ABCB6,10058,0.243,0.096,0.425,0.003,0.059,0.181,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC10,89845,-0.242,0.098,-0.342,0.017,0.058,0.117,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC1,4363,-0.372,0.009,-0.356,0.013,0.138,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC2,1244,-0.407,0.004,-0.308,0.033,0.166,0.095,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC4,10257,-0.554,0,-0.388,0.006,0.307,0.151,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC5,10057,-0.326,0.024,-0.307,0.034,0.106,0.094,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC6P1,653190,-0.277,0.057,-0.258,0.077,0.077,0.066,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC8,6833,0.093,0.528,0.298,0.04,0.009,0.089,DLBC,cBioPortal,,,,
48,A1BG,1,ABCC9,10060,-0.402,0.005,-0.327,0.023,0.161,0.107,DLBC,cBioPortal,,,,
48,A1BG,1,ABCD2,225,-0.429,0.002,-0.358,0.013,0.184,0.128,DLBC,cBioPortal,,,,
48,A1BG,1,ABCD3,5825,-0.441,0.002,-0.219,0.134,0.195,0.048,DLBC,cBioPortal,,,,
48,A1BG,1,ABCD4,5826,0.36,0.012,0.319,0.027,0.13,0.102,DLBC,cBioPortal,,,,
48,A1BG,1,ABCE1,6059,-0.575,0,-0.519,0,0.33,0.269,DLBC,cBioPortal,,,,
48,A1BG,1,ABCF1,23,0.256,0.079,0.258,0.077,0.065,0.067,DLBC,cBioPortal,,,,
48,A1BG,1,ABCF2,10061,-0.377,0.008,-0.37,0.01,0.142,0.137,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD11,83451,0.484,0,0.543,0,0.234,0.295,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD12,26090,0.493,0,0.417,0.003,0.243,0.174,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD13,84945,-0.409,0.004,-0.466,0.001,0.167,0.217,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD14A,25864,0.497,0,0.471,0.001,0.247,0.222,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD14B,84836,0.467,0.001,0.455,0.001,0.218,0.207,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD15,116236,-0.259,0.076,-0.315,0.029,0.067,0.099,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD2,11057,-0.445,0.002,-0.429,0.002,0.198,0.184,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD3,171586,-0.403,0.004,-0.435,0.002,0.163,0.189,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD5,51099,-0.322,0.026,-0.333,0.021,0.103,0.111,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD6,57406,-0.189,0.198,-0.243,0.096,0.036,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ABHD8,79575,0.531,0,0.459,0.001,0.282,0.21,DLBC,cBioPortal,,,,
48,A1BG,1,ABI1,10006,-0.429,0.002,-0.439,0.002,0.184,0.193,DLBC,cBioPortal,,,No,No
48,A1BG,1,ABI3BP,25890,-0.399,0.005,-0.389,0.006,0.159,0.151,DLBC,cBioPortal,,,,
48,A1BG,1,ABL1,25,-0.529,0,-0.513,0,0.279,0.263,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ABLIM2,84448,0.245,0.093,0.249,0.087,0.06,0.062,DLBC,cBioPortal,,,,
48,A1BG,1,ABO,28,-0.472,0.001,-0.363,0.011,0.223,0.131,DLBC,cBioPortal,,,,
48,A1BG,1,ABTB1,80325,0.547,0,0.469,0.001,0.299,0.22,DLBC,cBioPortal,,,,
48,A1BG,1,ABTB2,25841,-0.292,0.044,-0.221,0.132,0.085,0.049,DLBC,cBioPortal,,,,
48,A1BG,1,ACAA1,30,0.467,0.001,0.423,0.003,0.218,0.179,DLBC,cBioPortal,,,,
48,A1BG,1,ACACA,31,-0.561,0,-0.402,0.005,0.315,0.162,DLBC,cBioPortal,,,,
48,A1BG,1,ACAD10,80724,0.212,0.148,0.278,0.056,0.045,0.077,DLBC,cBioPortal,,,,
48,A1BG,1,ACAD11,84129,-0.24,0.1,-0.241,0.099,0.058,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ACADM,34,-0.395,0.005,-0.452,0.001,0.156,0.204,DLBC,cBioPortal,,,,
48,A1BG,1,ACADS,35,0.331,0.022,0.34,0.018,0.11,0.116,DLBC,cBioPortal,,,,
48,A1BG,1,ACADSB,36,-0.427,0.003,-0.437,0.002,0.182,0.191,DLBC,cBioPortal,,,,
48,A1BG,1,ACADVL,37,0.344,0.017,0.28,0.054,0.118,0.078,DLBC,cBioPortal,,,,
48,A1BG,1,ACAN,176,-0.294,0.043,-0.204,0.165,0.086,0.041,DLBC,cBioPortal,,,,
48,A1BG,1,ACAP1,9744,0.279,0.055,0.228,0.12,0.078,0.052,DLBC,cBioPortal,,,,
48,A1BG,1,ACAP2,23527,-0.44,0.002,-0.458,0.001,0.194,0.209,DLBC,cBioPortal,,,,
48,A1BG,1,ACBD3,64746,-0.502,0,-0.459,0.001,0.252,0.211,DLBC,cBioPortal,,,,
48,A1BG,1,ACBD4,79777,0.545,0,0.503,0,0.297,0.253,DLBC,cBioPortal,,,,
48,A1BG,1,ACBD5,91452,-0.53,0,-0.556,0,0.281,0.309,DLBC,cBioPortal,,,,
48,A1BG,1,ACBD6,84320,0.392,0.006,0.461,0.001,0.154,0.212,DLBC,cBioPortal,,,,
48,A1BG,1,ACCN3,9311,0.323,0.025,0.231,0.115,0.104,0.053,DLBC,cBioPortal,,,,
48,A1BG,1,ACCS,84680,0.21,0.152,0.212,0.148,0.044,0.045,DLBC,cBioPortal,,,,
48,A1BG,1,ACCSL,390110,-0.314,0.03,-0.238,0.104,0.098,0.057,DLBC,cBioPortal,,,,
48,A1BG,1,ACD,65057,0.486,0,0.519,0,0.237,0.269,DLBC,cBioPortal,,,,
48,A1BG,1,ACE,1636,-0.369,0.01,-0.358,0.012,0.136,0.128,DLBC,cBioPortal,,,,
48,A1BG,1,ACE2,59272,-0.238,0.104,-0.211,0.15,0.057,0.045,DLBC,cBioPortal,,,,
48,A1BG,1,ACER2,340485,-0.427,0.002,-0.343,0.017,0.183,0.118,DLBC,cBioPortal,,,,
48,A1BG,1,ACER3,55331,-0.3,0.038,-0.264,0.07,0.09,0.07,DLBC,cBioPortal,,,,
48,A1BG,1,ACIN1,22985,-0.379,0.008,-0.438,0.002,0.143,0.192,DLBC,cBioPortal,,,,
48,A1BG,1,ACLY,47,-0.587,0,-0.505,0,0.344,0.255,DLBC,cBioPortal,,,,
48,A1BG,1,ACOT13,55856,0.31,0.032,0.305,0.035,0.096,0.093,DLBC,cBioPortal,,,,
48,A1BG,1,ACOT2,10965,-0.135,0.361,-0.223,0.128,0.018,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,ACOT4,122970,0.428,0.002,0.356,0.013,0.183,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,ACOT8,10005,0.622,0,0.658,0,0.387,0.433,DLBC,cBioPortal,,,,
48,A1BG,1,ACOX1,51,-0.186,0.206,-0.214,0.144,0.035,0.046,DLBC,cBioPortal,,,,
48,A1BG,1,ACP5,54,0.259,0.076,0.239,0.101,0.067,0.057,DLBC,cBioPortal,,,,
48,A1BG,1,ACP6,51205,0.47,0.001,0.441,0.002,0.221,0.194,DLBC,cBioPortal,,,,
48,A1BG,1,ACPL2,92370,-0.115,0.435,-0.211,0.15,0.013,0.044,DLBC,cBioPortal,,,,
48,A1BG,1,ACRBP,84519,-0.255,0.08,-0.34,0.018,0.065,0.115,DLBC,cBioPortal,,,,
48,A1BG,1,ACSF2,80221,0.359,0.012,0.398,0.005,0.129,0.158,DLBC,cBioPortal,,,,
48,A1BG,1,ACSF3,197322,0.449,0.001,0.24,0.1,0.201,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ACSL3,2181,-0.524,0,-0.566,0,0.275,0.321,DLBC,cBioPortal,,,No,No
