id,source,corpus,fixture_set_version,introspection_commit,index_commit,author,date_authored,filter_complexity,schema_reach,requires_aggregation,feasible,catalogues,negative_reason,prompt,reference_sqon,reference_ast,reference_fields,reference_aggregation,expected_record_ids,reference_validated,frontier_pass,frontier_model,validation_date,notes
single-pred-shallow-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""donor_centric""]",,Show me all the deceased donors.,"{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}}","{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}}","[""submitter_donor_id"",""vital_status""]",,[],pending,pending,,,
single-pred-shallow-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""donor_centric""]",,Find donors whose primary site is the pancreas.,"{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Pancreas""]}}","{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Pancreas""]}}","[""submitter_donor_id"",""primary_site""]",,[],pending,pending,,,
single-pred-shallow-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,yes,yes,"[""donor_centric""]",,"Among female donors, give me a breakdown by primary site.","{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}}","{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}}","[""submitter_donor_id"",""gender"",""primary_site""]","{""field"":""primary_site"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,
single-pred-shallow-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""donor_centric""]",,Which donors survived more than five years past diagnosis?,"{""op"":""gt"",""content"":{""fieldName"":""survival_time"",""value"":1825}}","{""op"":""gt"",""content"":{""fieldName"":""survival_time"",""value"":1825}}","[""submitter_donor_id"",""survival_time""]",,[],pending,pending,,,survival_time is an integer day-interval; 5 years taken as 1825 days.
single-pred-shallow-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""file_centric""]",,Find every BAM file in the catalogue.,"{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM""]}}","{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM""]}}","[""object_id"",""file_type""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
single-pred-shallow-006,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""file_centric""]",,Show me the open-access files.,"{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}}","{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}}","[""object_id"",""file_access""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
single-pred-shallow-007,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,yes,"[""file_centric""]",,List the files that belong to the PACA-CA study.,"{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""PACA-CA""]}}","{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""PACA-CA""]}}","[""object_id"",""study_id""]",,[],pending,pending,,,"study_id = ICGC program code; ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
single-pred-shallow-008,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,yes,yes,"[""file_centric""]",,"Across published analyses, how many distinct studies are represented?","{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_state"",""value"":[""PUBLISHED""]}}","{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_state"",""value"":[""PUBLISHED""]}}","[""study_id"",""analysis.analysis_state""]","{""field"":""study_id"",""aggType"":""cardinality"",""args"":{}}",[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
single-pred-deep-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,yes,"[""donor_centric""]",,Show me donors who have a Total RNA sample.,"{""op"":""in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total RNA""]}}","{""op"":""in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total RNA""]}}","[""submitter_donor_id"",""specimens.samples.sample_type""]",,[],pending,pending,,,
single-pred-deep-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,yes,yes,"[""donor_centric""]",,"For donors who had chemotherapy, break their treatments down by intent.","{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Chemotherapy""]}}","{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Chemotherapy""]}}","[""submitter_donor_id"",""treatments.treatment_type"",""treatments.treatment_intent""]","{""field"":""treatments__treatment_intent"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,
