hugo_symbol,entrez_gene_id,number_of_samples_mutated_at_gene,total_number_of_mutated_samples,overall_mutation_frequency,cancer_type,number_of_samples_with_gains,number_of_samples_with_losses,total_number_of_samples,percent_of_samples_with_gains,percent_of_samples_with_losses,dataset_name,is_oncogene,is_tumor_suppressor_gene
DHX33,56919,1,1009,0.10,BRCA,63,628,1070,5.89,58.69,cBioPortal,,
USP17L8,392188,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CAPNS2,84290,,,,BRCA,132,614,1070,12.34,57.38,cBioPortal,,
CES2,8824,1,1009,0.10,BRCA,95,667,1070,8.88,62.34,cBioPortal,,
NFATC3,4775,7,1009,0.69,BRCA,106,667,1070,9.91,62.34,cBioPortal,,
PAFAH1B1,5048,4,1009,0.40,BRCA,72,615,1070,6.73,57.48,cBioPortal,,
USP10,9100,2,1009,0.20,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
DYNLRB2,83657,1,1009,0.10,BRCA,96,681,1070,8.97,63.64,cBioPortal,,
OR1G1,8390,1,1009,0.10,BRCA,70,617,1070,6.54,57.66,cBioPortal,,
TVP23C,201158,4,1009,0.40,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
MIR3935,100500891,,,,BRCA,119,635,1070,11.12,59.35,cBioPortal,,
IL34,146433,3,1009,0.30,BRCA,106,656,1070,9.91,61.31,cBioPortal,,
CHRNB1,1140,2,1009,0.20,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
COX4I1,1327,1,1009,0.10,BRCA,102,683,1070,9.53,63.83,cBioPortal,,
TMEM256,254863,1,1009,0.10,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
MICU3,286097,3,1009,0.30,BRCA,148,563,1070,13.83,52.62,cBioPortal,,
KCTD9,54793,1,1009,0.10,BRCA,143,576,1070,13.36,53.83,cBioPortal,,
TRAPPC2L,51693,2,1009,0.20,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
IRX6,79190,1,1009,0.10,BRCA,139,607,1070,12.99,56.73,cBioPortal,,
PHKB,5257,5,1009,0.50,BRCA,179,560,1070,16.73,52.34,cBioPortal,,
SOX7,83595,1,1009,0.10,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
MAP1LC3B,81631,,,,BRCA,102,684,1070,9.53,63.93,cBioPortal,,
DEFB109P1,245912,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
PLD2,5338,2,1009,0.20,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
CDH16,1014,6,1009,0.59,BRCA,96,666,1070,8.97,62.24,cBioPortal,,
RPH3AL-AS1,100506388,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
NOL3,8996,,,,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
MPDU1,9526,1,1009,0.10,BRCA,52,652,1070,4.86,60.93,cBioPortal,,
WDR81,124997,6,1009,0.59,BRCA,70,619,1070,6.54,57.85,cBioPortal,,
TMEM220-AS1,101101775,,,,BRCA,54,638,1070,5.05,59.63,cBioPortal,,
ASGR1,432,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
MIR4521,100616406,,,,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
ADAD2,161931,,,,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
MAP2K4,6416,42,1009,4.16,BRCA,54,643,1070,5.05,60.09,cBioPortal,No,Yes
CLEC10A,10462,4,1009,0.40,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
TP53,7157,347,1009,34.39,BRCA,54,650,1070,5.05,60.75,cBioPortal,No,Yes
MIR6883,102465532,,,,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
SPEM1,374768,,,,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
SLC38A8,146167,2,1009,0.20,BRCA,100,685,1070,9.35,64.02,cBioPortal,,
OR1E1,8387,2,1009,0.20,BRCA,70,617,1070,6.54,57.66,cBioPortal,,
CES1,1066,3,1009,0.30,BRCA,130,620,1070,12.15,57.94,cBioPortal,,
